enterprise-attack-v19.2.xlsx - techniques - cloud-matrix - platform contains Office Suite_or_Identity Provider_or_SaaS_or_IaaS,,,,,,,,,,,,,,,,
ID,STIX ID,name,description,url,created,last modified,domain,version,tactics,platforms,is sub-technique,sub-technique of,contributors,supports remote,impact type,relationship citations
T1485,attack-pattern--d45a3d09-b3cf-48f4-9f0f-f521ee5cb05c,Data Destruction,"Adversaries may destroy data and files on specific systems or in large numbers on a network to interrupt availability to systems, services, and network resources. Data destruction is likely to render stored data irrecoverable by forensic techniques through overwriting files or data on local and remote drives.(Citation: Symantec Shamoon 2012)(Citation: FireEye Shamoon Nov 2016)(Citation: Palo Alto Shamoon Nov 2016)(Citation: Kaspersky StoneDrill 2017)(Citation: Unit 42 Shamoon3 2018)(Citation: Talos Olympic Destroyer 2018) Common operating system file deletion commands such as <code>del</code> and <code>rm</code> often only remove pointers to files without wiping the contents of the files themselves, making the files recoverable by proper forensic methodology. This behavior is distinct from [Disk Content Wipe](https://attack.mitre.org/techniques/T1561/001) and [Disk Structure Wipe](https://attack.mitre.org/techniques/T1561/002) because individual files are destroyed rather than sections of a storage disk or the disk's logical structure.

Adversaries may attempt to overwrite files and directories with randomly generated data to make it irrecoverable.(Citation: Kaspersky StoneDrill 2017)(Citation: Unit 42 Shamoon3 2018) In some cases politically oriented image files have been used to overwrite data.(Citation: FireEye Shamoon Nov 2016)(Citation: Palo Alto Shamoon Nov 2016)(Citation: Kaspersky StoneDrill 2017)

To maximize impact on the target organization in operations where network-wide availability interruption is the goal, malware designed for destroying data may have worm-like features to propagate across a network by leveraging additional techniques like [Valid Accounts](https://attack.mitre.org/techniques/T1078), [OS Credential Dumping](https://attack.mitre.org/techniques/T1003), and [SMB/Windows Admin Shares](https://attack.mitre.org/techniques/T1021/002).(Citation: Symantec Shamoon 2012)(Citation: FireEye Shamoon Nov 2016)(Citation: Palo Alto Shamoon Nov 2016)(Citation: Kaspersky StoneDrill 2017)(Citation: Talos Olympic Destroyer 2018).

In cloud environments, adversaries may leverage access to delete cloud storage objects, machine images, database instances, and other infrastructure crucial to operations to damage an organization or their customers.(Citation: Data Destruction - Threat Post)(Citation: DOJ  - Cisco Insider) Similarly, they may delete virtual machines from on-prem virtualized environments.",https://attack.mitre.org/techniques/T1485,14 March 2019,12 May 2026,enterprise-attack,1.4,Impact,"Containers, ESXi, IaaS, Linux, Windows, macOS",FALSE,,"Brent Murphy, Elastic; David French, Elastic; Joey Lei; Prasad Somasamudram, McAfee; Sekhar Sarukkai, McAfee; Syed Ummar Farooqh, McAfee; Varonis Threat Labs",,Availability,"(Citation: Dragos Crashoverride 2017),(Citation: SPECOPS Outpost24 Handala Hack Stryker March 2026),(Citation: Fortinet Diavol July 2021),(Citation: FireEye APT38 Oct 2018),(Citation: Unit 42 Kazuar May 2017),(Citation: Socket Shai-Hulud November 2025),(Citation: Intel 471 REvil March 2020),(Citation: ESET DynoWiper JAN 2026),(Citation: Microsoft SDelete July 2016),(Citation: Secureworks REvil September 2019),(Citation: US-CERT Ukraine Feb 2016),(Citation: Volexity PowerDuke November 2016),(Citation: Cisco CaddyWiper March 2022),(Citation: MSTIC DEV-0537 Mar 2022),(Citation: DOJ FBI Handala Hack March 2026),(Citation: Check Point Meteor Aug 2021),(Citation: Picus Sodinokibi January 2020),(Citation: Microsoft WhisperGate January 2022),(Citation: Crowdstrike WhisperGate January 2022),(Citation: Microsoft Storm-0501 Embargo Ransomware August 2025),(Citation: Novetta Blockbuster),(Citation: Splunk ShrinkLocker 2024),(Citation: SentinelOne Agrius 2021),(Citation: ESET Telebots June 2017),(Citation: McAfee Sodinokibi October 2019),(Citation: Cybereason WhisperGate February 2022),(Citation: Aikido CanisterWorm MAR 2026),(Citation: ESET Hermetic Wizard March 2022),(Citation: Palo Alto VOID MANTICORE Iran Cyber Threats March 2026),(Citation: ESET BlackEnergy Jan 2016),(Citation: CERT Polska),(Citation: Flashpoint Mini Shai-Hulud MAY 2026),(Citation: Talos Olympic Destroyer 2018),(Citation: McAfee GhostSecret),(Citation: Palo Alto TeamPCP MAR 2026),(Citation: AcidRain JAGS 2022),(Citation: Kaspersky Sodin July 2019),(Citation: SentinelOne AcidPour 2024),(Citation: Unit42 Agrius 2023),(Citation: Unit 42 Shamoon3 2018),(Citation: FireEye Shamoon Nov 2016),(Citation: US District Court Indictment GRU Unit 74455 October 2020),(Citation: ESET DynoWiper Update JAN 2026),(Citation: ESEST Black Energy Jan 2016),(Citation: Palo Alto Shamoon Nov 2016),(Citation: Secureworks GandCrab and REvil September 2019),(Citation: NCC Group LAPSUS Apr 2022),(Citation: Unit42KelleyVaya_BlingLibra_Aug2024),(Citation: Palo Alto Unit 42 Shai-Hulud November 2025),(Citation: Symantec Shamoon 2012),(Citation: McAfee Shamoon December 2018),(Citation: Securelist BlackEnergy Feb 2015),(Citation: Check Point VOID MANTICORE Handala Hack March 2026),(Citation: Unit42 Xbash Sept 2018),(Citation: Mandiant-Sandworm-Ukraine-2022),(Citation: Hunt.io TeamPCP Toolkit MAY 2026),(Citation: ESET CaddyWiper March 2022),(Citation: mandiant_apt44_unearthing_sandworm),(Citation: Cisco Ukraine Wipers January 2022),(Citation: Medium S2W WhisperGate January 2022),(Citation: Check Point Wirte NOV 2024),(Citation: Microsoft Shai-Hulud December 2025),(Citation: Unit 42 WhisperGate January 2022),(Citation: Kaspersky StoneDrill 2017),(Citation: Phoenix TeamPCP 20 MAY 2026),(Citation: Ready.gov IT DRP),"
T1485.001,attack-pattern--1001e0d6-ee09-4dfc-aa90-e9320ffc8fe4,Data Destruction: Lifecycle-Triggered Deletion,"Adversaries may modify the lifecycle policies of a cloud storage bucket to destroy all objects stored within.  

Cloud storage buckets often allow users to set lifecycle policies to automate the migration, archival, or deletion of objects after a set period of time.(Citation: AWS Storage Lifecycles)(Citation: GCP Storage Lifecycles)(Citation: Azure Storage Lifecycles) If a threat actor has sufficient permissions to modify these policies, they may be able to delete all objects at once. 

For example, in AWS environments, an adversary with the `PutLifecycleConfiguration` permission may use the `PutBucketLifecycle` API call to apply a lifecycle policy to an S3 bucket that deletes all objects in the bucket after one day.(Citation: Palo Alto Cloud Ransomware)(Citation: Halcyon AWS Ransomware 2025) In addition to destroying data for purposes of extortion and [Financial Theft](https://attack.mitre.org/techniques/T1657), adversaries may also perform this action on buckets storing cloud logs for [Indicator Removal](https://attack.mitre.org/techniques/T1070).(Citation: Datadog S3 Lifecycle CloudTrail Logs)",https://attack.mitre.org/techniques/T1485/001,25 September 2024,15 April 2025,enterprise-attack,1.1,Impact,IaaS,TRUE,T1485,,,Availability,",(Citation: Ready.gov IT DRP),"
T1486,attack-pattern--b80d107d-fa0d-4b60-9684-b0433e8bdba0,Data Encrypted for Impact,"Adversaries may encrypt data on target systems or on large numbers of systems in a network to interrupt availability to system and network resources. They can attempt to render stored data inaccessible by encrypting files or data on local and remote drives and withholding access to a decryption key. This may be done in order to extract monetary compensation from a victim in exchange for decryption or a decryption key (ransomware) or to render data permanently inaccessible in cases where the key is not saved or transmitted.(Citation: US-CERT Ransomware 2016)(Citation: FireEye WannaCry 2017)(Citation: US-CERT NotPetya 2017)(Citation: US-CERT SamSam 2018)

In the case of ransomware, it is typical that common user files like Office documents, PDFs, images, videos, audio, text, and source code files will be encrypted (and often renamed and/or tagged with specific file markers). Adversaries may need to first employ other behaviors, such as [File and Directory Permissions Modification](https://attack.mitre.org/techniques/T1222) or [System Shutdown/Reboot](https://attack.mitre.org/techniques/T1529), in order to unlock and/or gain access to manipulate these files.(Citation: CarbonBlack Conti July 2020) In some cases, adversaries may encrypt critical system files, disk partitions, and the MBR.(Citation: US-CERT NotPetya 2017) Adversaries may also encrypt virtual machines hosted on ESXi or other hypervisors.(Citation: Crowdstrike Hypervisor Jackpotting Pt 2 2021) 

To maximize impact on the target organization, malware designed for encrypting data may have worm-like features to propagate across a network by leveraging other attack techniques like [Valid Accounts](https://attack.mitre.org/techniques/T1078), [OS Credential Dumping](https://attack.mitre.org/techniques/T1003), and [SMB/Windows Admin Shares](https://attack.mitre.org/techniques/T1021/002).(Citation: FireEye WannaCry 2017)(Citation: US-CERT NotPetya 2017) Encryption malware may also leverage [Internal Defacement](https://attack.mitre.org/techniques/T1491/001), such as changing victim wallpapers or ESXi server login messages, or otherwise intimidate victims by sending ransom notes or other messages to connected printers (known as ""print bombing"").(Citation: NHS Digital Egregor Nov 2020)(Citation: Varonis)

In cloud environments, storage objects within compromised accounts may also be encrypted.(Citation: Rhino S3 Ransomware Part 1) For example, in AWS environments, adversaries may leverage services such as AWS’s Server-Side Encryption with Customer Provided Keys (SSE-C) to encrypt data.(Citation: Halcyon AWS Ransomware 2025)",https://attack.mitre.org/techniques/T1486,15 March 2019,12 May 2026,enterprise-attack,1.5,Impact,"ESXi, IaaS, Linux, Windows, macOS",FALSE,,"ExtraHop; Harshal Tupsamudre, Qualys; Mayuresh Dani, Qualys; Oleg Kolesnikov, Securonix; Travis Smith, Qualys",,Availability,"(Citation: Microsoft Moonstone Sleet 2024),(Citation: Cybereason Royal December 2022),(Citation: Mcafee Clop Aug 2019),(Citation: Mandiant FIN7 Apr 2022),(Citation: Huntress INC Ransom Group August 2023),(Citation: Check Point Pay2Key November 2020),(Citation: McAfee Babuk February 2021),(Citation: Cybereason Egregor Nov 2020),(Citation: Checkpoint MosesStaff Nov 2021),(Citation: KillDisk Ransomware),(Citation: Trend Micro AvosLocker Apr 2022),(Citation: Joint Cybersecurity Advisory LockBit JUN 2023),(Citation: Unit42 LockerGoga 2019),(Citation: Unit42 Clop April 2021),(Citation: SecureWorks WannaCry Analysis),(Citation: Microsoft BlackByte 2023),(Citation: Picus Sodinokibi January 2020),(Citation: Trend Micro Agenda Ransomware AUG 2022),(Citation: Cisco Talos Avos Jun 2022),(Citation: Secure List Bad Rabbit),(Citation: Splunk ShrinkLocker 2024),(Citation: Mandiant VMware vSphere JUL 2025),(Citation: Kaspersky ShrinkLocker 2024),(Citation: Trend Micro Cheerscrypt May 2022),(Citation: DFIR Phosphorus November 2021),(Citation: ESET Embargo Ransomware October 2024),(Citation: Kaspersky Sodin July 2019),(Citation: Microsoft Iranian Threat Actor Trends November 2021),(Citation: Crowdstrike Indrik November 2018),(Citation: FireEye WannaCry 2017),(Citation: CrowdStrike Wizard Spider October 2020),(Citation: Picus Qilin MAR 2025),(Citation: Palo Alto Shamoon Nov 2016),(Citation: Symantec WastedLocker June 2020),(Citation: Cyble Embargo Ransomware May 2024),(Citation: Joint CSA AvosLocker Mar 2022),(Citation: Microsoft Prestige ransomware October 2022),(Citation: Trustwave BlackByte 2021),(Citation: Secureworks GOLD IONIC April 2024),(Citation: FireEye APT41 Aug 2019),(Citation: Arxiv Avaddon Feb 2021),(Citation: Tetra Defense Sodinokibi March 2020),(Citation: Broadcom Medusa Ransomware Medusa Group March 2025),(Citation: NCC Group Fivehands June 2021),(Citation: Kaspersky LODEINFO Part II OCT 2022),(Citation: McAfee REvil October 2019),(Citation: ITOCHU LODEINFO JAN 2024),(Citation: CrowdStrike Ryuk January 2019),(Citation: Symantec FIN8 Jul 2023),(Citation: SentinelOne LockBit 2.0),(Citation: HC3 Qilin Threat Profile JUN 2024),(Citation: mbed-crypto),(Citation: Talos Nyetya June 2017),(Citation: BushidoToken Qilin RaaS JUN 2024),(Citation: US-CERT NotPetya 2017),(Citation: Proofpoint TA505 Sep 2017),(Citation: Group-IB RansomHub FEB 2025),(Citation: Cybereason Conti Jan 2021),(Citation: Costa AvosLocker May 2022),(Citation: apt41_dcsocytec_dec2022),(Citation: Trend Micro Black Basta Spotlight September 2022),(Citation: Cybleinc Conti January 2020),(Citation: Trend Micro Ransomware Spotlight Play July 2023),(Citation: Minerva Labs Black Basta May 2022),(Citation: Cybereason INC Ransomware November 2023),(Citation: SentinelOne Agrius 2021),(Citation: Uptycs Black Basta ESXi June 2022),(Citation: CISA Medusa Group Medusa Ransomware March 2025),(Citation: Security Scorecard Medusa Ransomware January 2024),(Citation: Microsoft SharePoint Exploit JUL 2025),(Citation: Wired Lockergoga 2019),(Citation: Trend Micro Black Basta May 2022),(Citation: ClearkSky Fox Kitten February 2020),(Citation: Microsoft Albanian Government Attacks September 2022),(Citation: Palo Alto TeamPCP MAR 2026),(Citation: Ensilo Darkgate 2018),(Citation: CISA Akira Ransomware APR 2024),(Citation: Trend Micro Royal Linux ESXi February 2023),(Citation: Check Point Black Basta October 2022),(Citation: INCIBE-CERT LockBit MAR 2024),(Citation: McAfee Cuba April 2021),(Citation: Group IB Ransomware September 2020),(Citation: Sentinel Labs WastedLocker July 2020),(Citation: CrowdStrike Carbon Spider August 2021),(Citation: Symantec BlackByte 2022),(Citation: Bleeping Computer INC Ransomware March 2024),(Citation: Check Point VOID MANTICORE Handala Hack March 2026),(Citation: Cylance Sodinokibi July 2019),(Citation: FireEye FiveHands April 2021),(Citation: Palo Alto SharePoint Vulnerabilities JUL 2025),(Citation: BushidoToken Akira 2023),(Citation: Trend Micro Agenda Ransomware OCT 2025),(Citation: Cisco BlackByte 2024),(Citation: CERT-FR PYSA April 2020),(Citation: Palo Alto Unit 42 EKANS),(Citation: SecureList SynAck Doppelgänging May 2018),(Citation: Mandiant ROADSWEEP August 2022),(Citation: Palo Alto Networks Black Basta August 2022),(Citation: Talos Sodinokibi April 2019),(Citation: Intel 471 REvil March 2020),(Citation: NCC Group WastedLocker June 2020),(Citation: Secureworks REvil September 2019),(Citation: TrendMicro Netwalker May 2020),(Citation: MSTIC Octo Tempest Operations October 2023),(Citation: DOJ FBI Handala Hack March 2026),(Citation: CISA AR21-126A FIVEHANDS May 2021),(Citation: Cisco Akira Ransomware OCT 2024),(Citation: Cynet Ragnar Apr 2020),(Citation: CarbonBlack Conti July 2020),(Citation: NCC Group Black Basta June 2022),(Citation: Deep Instinct Black Basta August 2022),(Citation: FireEye Maze May 2020),(Citation: Unit 42 Shamoon3 2018),(Citation: CrowdStrike Scattered Spider JUL 2025),(Citation: Microsoft BlackCat Jun 2022),(Citation: BlackBerry_FIN7_April2024),(Citation: Sentinel Labs LockBit 3.0 JUL 2022),(Citation: CheckPoint Agrius 2023),(Citation: Cyble Black Basta May 2022),(Citation: CISA Iran Albanian Attacks September 2022),(Citation: Picus BlackByte 2022),(Citation: ESET MirrorFace DEC 2022),(Citation: Sygnia Emperor Dragonfly October 2022),(Citation: SOCRadar INC Ransom January 2024),(Citation: NHS Digital Egregor Nov 2020),(Citation: Fortinet Diavol July 2021),(Citation: FireEye APT38 Oct 2018),(Citation: wardle evilquest partii),(Citation: Medium Babuk February 2021),(Citation: Carbon Black JCry May 2019),(Citation: Microsoft Storm-1811 2024),(Citation: trendmicro xcsset xcode project 2020),(Citation: CISA Play Ransomware Advisory December 2023),(Citation: Joint Cybersecurity Advisory LockBit 3.0 MAR 2023),(Citation: Halcyon Qilin.B OCT 2024),(Citation: Microsoft Storm-0501 Embargo Ransomware August 2025),(Citation: CISA Scattered Spider Advisory November 2023),(Citation: SentinelOne INC Ransomware),(Citation: Palo Alto Lockbit 2.0 JUN 2022),(Citation: Malwarebytes AvosLocker Jul 2021),(Citation: Palo Alto Howling Scorpius DEC 2024),(Citation: SentinelOne Qilin NOV 2022),(Citation: US District Court Indictment GRU Unit 74455 October 2020),(Citation: Sophos Ragnar May 2020),(Citation: Mandiant_UNC2165),(Citation: IBM MegaCortex),(Citation: Cisco Talos Qilin Ransomware OCT 2025),(Citation: Cybereason Clop Dec 2020),(Citation: FBI BlackByte 2022),(Citation: CarbonBlack RobbinHood May 2019),(Citation: Palo Alto Unit 42 Medusa Group Medusa Ransomware January 2024),(Citation: BlackBerry Black Basta May 2022),(Citation: CISA RansomHub AUG 2024),(Citation: Kersten Akira 2023),(Citation: DFIR Conti Bazar Nov 2021),(Citation: Unit42 Xbash Sept 2018),(Citation: Kroll Royal Deep Dive February 2023),(Citation: Trend Micro Ransomware February 2021),(Citation: Sophos SamSam Apr 2018),(Citation: CarbonBlack LockerGoga 2019),(Citation: Sogeti CERT ESEC Babuk March 2021),(Citation: LogRhythm WannaCry),(Citation: Check Point Scattered Spider JUL 2025),(Citation: Dragos EKANS),(Citation: Ready.gov IT DRP),(Citation: Halcyon AWS Ransomware 2025),(Citation: win10_asr),(Citation: Rhino S3 Ransomware Part 2),"
T1074,attack-pattern--7dd95ff6-712e-4056-9626-312ea4ab4c5e,Data Staged,"Adversaries may stage collected data in a central location or directory prior to Exfiltration. Data may be kept in separate files or combined into one file through techniques such as [Archive Collected Data](https://attack.mitre.org/techniques/T1560). Interactive command shells may be used, and common functionality within [cmd](https://attack.mitre.org/software/S0106) and bash may be used to copy data into a staging location.(Citation: PWC Cloud Hopper April 2017)

In cloud environments, adversaries may stage data within a particular instance or virtual machine before exfiltration. An adversary may [Create Cloud Instance](https://attack.mitre.org/techniques/T1578/002) and stage data in that instance.(Citation: Mandiant M-Trends 2020)

Adversaries may choose to stage data from a victim network in a centralized location prior to Exfiltration to minimize the number of connections made to their C2 server and better evade detection.",https://attack.mitre.org/techniques/T1074,31 May 2017,12 May 2026,enterprise-attack,1.5,Collection,"ESXi, IaaS, Linux, Windows, macOS",FALSE,,"Praetorian; Shane Tully, @securitygypsy",,,"(Citation: ClearSky Siamesekitten August 2021),(Citation: Kaspersky Lyceum October 2021),(Citation: ESET Kobalos Jan 2021),(Citation: Huntress INC Ransom Group August 2023),(Citation: CISA Scattered Spider Advisory November 2023),(Citation: Mandiant Suspected Turla Campaign February 2023),(Citation: FBI IC3 Flash VOID MANTICORE Handala Hack March 2026),(Citation: Microsoft Volt Typhoon May 2023),(Citation: SOCRadar INC Ransom January 2024),(Citation: CrowdStrike Grim Spider May 2019),,"
T1074.002,attack-pattern--359b00ad-9425-420b-bba5-6de8d600cbc0,Data Staged: Remote Data Staging,"Adversaries may stage data collected from multiple systems in a central location or directory on one system prior to Exfiltration. Data may be kept in separate files or combined into one file through techniques such as [Archive Collected Data](https://attack.mitre.org/techniques/T1560). Interactive command shells may be used, and common functionality within [cmd](https://attack.mitre.org/software/S0106) and bash may be used to copy data into a staging location.

In cloud environments, adversaries may stage data within a particular instance or virtual machine before exfiltration. An adversary may [Create Cloud Instance](https://attack.mitre.org/techniques/T1578/002) and stage data in that instance.(Citation: Mandiant M-Trends 2020)

By staging data on one system prior to Exfiltration, adversaries can minimize the number of connections made to their C2 server and better evade detection.",https://attack.mitre.org/techniques/T1074/002,13 March 2020,12 May 2026,enterprise-attack,1.2,Collection,"ESXi, IaaS, Linux, Windows, macOS",TRUE,T1074,Praetorian,,,"(Citation: Cybersecurity Advisory GRU Brute Force Campaign July 2021),(Citation: Kaspersky ToddyCat Check Logs October 2023),(Citation: SecureWorks BRONZE UNION June 2017),(Citation: PWC Cloud Hopper April 2017),(Citation: NCC Group Chimera January 2021),(Citation: FireEye Know Your Enemy FIN8 Aug 2016),(Citation: Bitdefender FunnyDream Campaign November 2020),(Citation: CISA AA21-200A APT40 July 2021),(Citation: MoustachedBouncer ESET August 2023),(Citation: Trend Micro Earth Kasha NOV 2024),(Citation: FireEye FIN6 April 2016),(Citation: Symantec Cicada November 2020),(Citation: McAfee Night Dragon),(Citation: Hunt Sea Turtle 2024),(Citation: Volexity SolarWinds),,"
T1530,attack-pattern--3298ce88-1628-43b1-87d9-0b5336b193d7,Data from Cloud Storage,"Adversaries may access data from cloud storage.

Many IaaS providers offer solutions for online data object storage such as Amazon S3, Azure Storage, and Google Cloud Storage. Similarly, SaaS enterprise platforms such as Office 365 and Google Workspace provide cloud-based document storage to users through services such as OneDrive and Google Drive, while SaaS application providers such as Slack, Confluence, Salesforce, and Dropbox may provide cloud storage solutions as a peripheral or primary use case of their platform. 

In some cases, as with IaaS-based cloud storage, there exists no overarching application (such as SQL or Elasticsearch) with which to interact with the stored objects: instead, data from these solutions is retrieved directly though the [Cloud API](https://attack.mitre.org/techniques/T1059/009). In SaaS applications, adversaries may be able to collect this data directly from APIs or backend cloud storage objects, rather than through their front-end application or interface (i.e., [Data from Information Repositories](https://attack.mitre.org/techniques/T1213)). 

Adversaries may collect sensitive data from these cloud storage solutions. Providers typically offer security guides to help end users configure systems, though misconfigurations are a common problem.(Citation: Amazon S3 Security, 2019)(Citation: Microsoft Azure Storage Security, 2019)(Citation: Google Cloud Storage Best Practices, 2019) There have been numerous incidents where cloud storage has been improperly secured, typically by unintentionally allowing public access to unauthenticated users, overly-broad access by all users, or even access for any anonymous person outside the control of the Identity Access Management system without even needing basic user permissions.

This open access may expose various types of sensitive data, such as credit cards, personally identifiable information, or medical records.(Citation: Trend Micro S3 Exposed PII, 2017)(Citation: Wired Magecart S3 Buckets, 2019)(Citation: HIPAA Journal S3 Breach, 2017)(Citation: Rclone-mega-extortion_05_2021)

Adversaries may also obtain then abuse leaked credentials from source repositories, logs, or other means as a way to gain access to cloud storage objects.",https://attack.mitre.org/techniques/T1530,30 August 2019,12 May 2026,enterprise-attack,2.2,Collection,"IaaS, Office Suite, SaaS",FALSE,,"AppOmni; Arun Seelagan, CISA; Netskope; Praetorian",,,"(Citation: Mandiant APT42-charms),(Citation: Crowdstrike TELCO BPO Campaign December 2022),(Citation: SOCRadar_ShinyHunters_Mar2024),(Citation: AADInternals),(Citation: Microsoft Storm-0501 Embargo Ransomware August 2025),(Citation: GitHub Pacu),(Citation: CISA AA20-259A Iran-Based Actor September 2020),(Citation: Mandiant APT42-untangling),(Citation: Black Hills Information Security TruffleHog January 2024),(Citation: CISA Scattered Spider Advisory November 2023),(Citation: Github TruffleSecurity Trufflehog April 2025),(Citation: Microsoft Silk Typhoon MAR 2025),(Citation: Peirates GitHub),(Citation: CERT Polska),(Citation: Google Cloud Encryption Key Rotation),(Citation: Microsoft Azure Storage Security, 2019),(Citation: Amazon  AWS Temporary Security Credentials),(Citation: Amazon S3 Security, 2019),"
T1213,attack-pattern--d28ef391-8ed4-45dc-bc4a-2f43abf54416,Data from Information Repositories,"Adversaries may leverage information repositories to mine valuable information. Information repositories are tools that allow for storage of information, typically to facilitate collaboration or information sharing between users, and can store a wide variety of data that may aid adversaries in further objectives, such as Credential Access, Lateral Movement, or Defense Evasion, or direct access to the target information. Adversaries may also abuse external sharing features to share sensitive documents with recipients outside of the organization (i.e., [Transfer Data to Cloud Account](https://attack.mitre.org/techniques/T1537)). 

The following is a brief list of example information that may hold potential value to an adversary and may also be found on an information repository:

* Policies, procedures, and standards
* Physical / logical network diagrams
* System architecture diagrams
* Technical system documentation
* Testing / development credentials (i.e., [Unsecured Credentials](https://attack.mitre.org/techniques/T1552)) 
* Work / project schedules
* Source code snippets
* Links to network shares and other internal resources
* Contact or other sensitive information about business partners and customers, including personally identifiable information (PII) 

Information stored in a repository may vary based on the specific instance or environment. Specific common information repositories include the following:

* Storage services such as IaaS databases, enterprise databases, and more specialized platforms such as customer relationship management (CRM) databases 
* Collaboration platforms such as SharePoint, Confluence, and code repositories
* Messaging platforms such as Slack and Microsoft Teams 

In some cases, information repositories have been improperly secured, typically by unintentionally allowing for overly-broad access by all users or even public access to unauthenticated users. This is particularly common with cloud-native or cloud-hosted services, such as AWS Relational Database Service (RDS), Redis, or ElasticSearch.(Citation: Mitiga)(Citation: TrendMicro Exposed Redis 2020)(Citation: Cybernews Reuters Leak 2022)",https://attack.mitre.org/techniques/T1213,18 April 2018,24 October 2025,enterprise-attack,3.4,Collection,"IaaS, Linux, Office Suite, SaaS, Windows, macOS",FALSE,,"Isif Ibrahima, Mandiant; Milos Stojadinovic; Naveen Vijayaraghavan; Nilesh Dherange (Gurucul); Obsidian Security; Praetorian; Regina Elwell",,,"(Citation: S2W Troll Stealer 2024),(Citation: Sekoia Raccoon2 2022),(Citation: Cybersecurity Advisory GRU Brute Force Campaign July 2021),(Citation: CrowdStrike StellarParticle January 2022),(Citation: Symantec Troll Stealer 2024),(Citation: AWS DB VPC),(Citation: TrustedSec OOB Communications),"
T1213.003,attack-pattern--cff94884-3b1c-4987-a70b-6d5643c621c3,Data from Information Repositories: Code Repositories,"Adversaries may leverage code repositories to collect valuable information. Code repositories are tools/services that store source code and automate software builds. They may be hosted internally or privately on third party sites such as Github, GitLab, SourceForge, and BitBucket. Users typically interact with code repositories through a web application or command-line utilities such as git.

Once adversaries gain access to a victim network or a private code repository, they may collect sensitive information such as proprietary source code or [Unsecured Credentials](https://attack.mitre.org/techniques/T1552) contained within software's source code.  Having access to software's source code may allow adversaries to develop [Exploits](https://attack.mitre.org/techniques/T1587/004), while credentials may provide access to additional resources using [Valid Accounts](https://attack.mitre.org/techniques/T1078).(Citation: Wired Uber Breach)(Citation: Krebs Adobe)

**Note:** This is distinct from [Code Repositories](https://attack.mitre.org/techniques/T1593/003), which focuses on conducting [Reconnaissance](https://attack.mitre.org/tactics/TA0043) via public code repositories.",https://attack.mitre.org/techniques/T1213/003,11 May 2021,12 May 2026,enterprise-attack,1.2,Collection,SaaS,TRUE,T1213,"Itamar Mizrahi, Cymptom; Josh Liburdi, @jshlbrd; Toby Kohlenberg",,,"(Citation: MSTIC DEV-0537 Mar 2022),(Citation: Rostovcev APT41 2021),(Citation: Microsoft Internal Solorigate Investigation Blog),(Citation: Socket GlassWorm January 2026),(Citation: Aikido Shai-Hulud September 2025),(Citation: NCC Group LAPSUS Apr 2022),(Citation: CISA Scattered Spider Advisory November 2023),(Citation: Github TruffleSecurity Trufflehog April 2025),(Citation: Intel471_SH_Aug2021),(Citation: Aqua Security Blog Trivy Compromise APR 2026),(Citation: Koi Glassworm New Tricks December 2025),(Citation: Koi Glassworm InvisibleCode October 2025),(Citation: Phoenix TeamPCP 20 MAY 2026),(Citation: Wiz Trivy Compromise MAR 2026),(Citation: MSTIC Octo Tempest Operations October 2023),,"
T1213.001,attack-pattern--7ad38ef1-381a-406d-872a-38b136eb5ecc,Data from Information Repositories: Confluence,"
Adversaries may leverage Confluence repositories to mine valuable information. Often found in development environments alongside Atlassian JIRA, Confluence is generally used to store development-related documentation, however, in general may contain more diverse categories of useful information, such as:

* Policies, procedures, and standards
* Physical / logical network diagrams
* System architecture diagrams
* Technical system documentation
* Testing / development credentials (i.e., [Unsecured Credentials](https://attack.mitre.org/techniques/T1552))
* Work / project schedules
* Source code snippets
* Links to network shares and other internal resources
",https://attack.mitre.org/techniques/T1213/001,14 February 2020,12 May 2026,enterprise-attack,1.1,Collection,SaaS,TRUE,T1213,,,,"(Citation: MSTIC DEV-0537 Mar 2022),(Citation: Github TruffleSecurity Trufflehog April 2025),,"
T1213.004,attack-pattern--bbfbb096-6561-4d7d-aa2c-a5ee8e44c696,Data from Information Repositories: Customer Relationship Management Software,"Adversaries may leverage Customer Relationship Management (CRM) software to mine valuable information. CRM software is used to assist organizations in tracking and managing customer interactions, as well as storing customer data.

Once adversaries gain access to a victim organization, they may mine CRM software for customer data. This may include personally identifiable information (PII) such as full names, emails, phone numbers, and addresses, as well as additional details such as purchase histories and IT support interactions. By collecting this data, an adversary may be able to send personalized [Phishing](https://attack.mitre.org/techniques/T1566) emails, engage in SIM swapping, or otherwise target the organization’s customers in ways that enable financial gain or the compromise of additional organizations.(Citation: Bleeping Computer US Cellular Hack 2022)(Citation: Bleeping Computer Mint Mobile Hack 2021)(Citation: Bleeping Computer Bank Hack 2020)

CRM software may be hosted on-premises or in the cloud. Information stored in these solutions may vary based on the specific instance or environment. Examples of CRM software include Microsoft Dynamics 365, Salesforce, Zoho, Zendesk, and HubSpot.",https://attack.mitre.org/techniques/T1213/004,01 July 2024,15 April 2025,enterprise-attack,1,Collection,SaaS,TRUE,T1213,Centre for Cybersecurity Belgium (CCB),,,"(Citation: Google Salesforce JUN 2025),,"
